Type Object,Operator Code,Category,Name NL,Name FR,Streetname NL,Streetname FR,HouseNumber,PostalCode,Longitude,Latitude,Accessibility
mailbox,BPST,PBUS,RB-2570-009,RB-2570-009,Hogevelden,Hogevelden,16,2570,4.5139020,51.0927330,0
mailbox,BPST,PBUS,RB-7190-016,RB-7190-016,Rue De La Justice,Rue De La Justice,7,7190,4.1767450,50.5466550,0
mailbox,BPST,PBUS,RB-1650-013,RB-1650-013,Steenweg Op Ukkel,Steenweg Op Ukkel,329,1650,4.3249310,50.7787970,0
mailbox,BPST,PBUS,RB-9120-020,RB-9120-020,Spoorweglaan,Spoorweglaan,248,9120,4.2868510,51.2107950,0
mailbox,BPST,PBUS,RB-3000-098,RB-3000-098,Tiensevest,Tiensevest,190/101,3000,4.7140120,50.8738820,0
postalpoint,PSTN,BPPE,Louis Delhaize Gazettenwinkel Vos,Louis Delhaize Gazettenwinkel Vos,August Nihoulstraat,August Nihoulstraat,,3270,4.9749500,50.9795640,0
postalpoint,GLS_,BPPE,Les Amis De Saint Bernard,Les Amis De Saint Bernard,ROMEINSESTEENWEG,ROMEINSESTEENWEG,162 A,1800,4.3733986,50.9033558,0
postalpoint,GLS_,AUTO,GLS Parcel Locker powered by bpost,GLS Parcel Locker powered by bpost,ROUTE DE LA BARRIERE,ROUTE DE LA BARRIERE,10,6970,5.5118060,50.0928748,0
postalpoint,GLS_,AUTO,GLS Parcel Locker powered by bpost,GLS Parcel Locker powered by bpost,RUE DE WELLIN,RUE DE WELLIN,6 B,5574,4.9951054,50.0990999,0
postalpoint,GLS_,BPPE,Le fleuriste de Fort Jaco,Le fleuriste de Fort Jaco,CHAUSSEE DE WATERLOO,CHAUSSEE DE WATERLOO,1490,1180,4.3787473,50.7843386,0
postalpoint,GLS_,AUTO,GLS Parcel Locker powered by bpost,GLS Parcel Locker powered by bpost,TORHOUTSESTEENWEG,TORHOUTSESTEENWEG,4 B,8432,2.9043132,51.1797964,0
mailbox,BPST,PBUS,RB-2910-014,RB-2910-014,Spijker,Spijker,55,2910,4.4749050,51.4550930,0
postalpoint,GLS_,BPPE,T'Zonneroosje,T'Zonneroosje,POPERINGSEWEG,POPERINGSEWEG,166,8908,2.8277446,50.8534142,0
postalpoint,GLS_,AUTO,GLS Parcel Locker powered by bpost,GLS Parcel Locker powered by bpost,MORIAANSTRAAT,MORIAANSTRAAT,81,9050,3.7455950,51.0336718,0
postalpoint,GLS_,BPPE,Frimout,Frimout,WERVIKSTRAAT,WERVIKSTRAAT,166,8902,2.9329305,50.8243806,0
postalpoint,GLS_,BPPE,Bima Stock,Bima Stock,GRAND'ROUTE,GRAND'ROUTE,111,4400,5.4784304,50.6029923,0
postalpoint,GLS_,BPPE,Librairie Plasky,Librairie Plasky,AVENUE EUGENE PLASKY,AVENUE EUGENE PLASKY,87,1030,4.3964708,50.8504313,0
postalpoint,GLS_,BPPE,Jyoti Dagwinkel,Jyoti Dagwinkel,BORGWORMSESTEENWEG,BORGWORMSESTEENWEG,61,3800,5.2085356,50.7811446,0
postalpoint,GLS_,BPPE,Gurveer Mini Market,Gurveer Mini Market,BLAUWHONDSTRAAT,BLAUWHONDSTRAAT,3,2800,4.4794950,51.0272133,0
postalpoint,GLS_,BPPE,Aveve,Aveve,DORP,DORP,101,9130,4.1727662,51.2926885,0
postalpoint,GLS_,BPPE,Partytect,Partytect,STOFFELSTRAAT,STOFFELSTRAAT,10 C,9500,3.9247898,50.7530821,0
postalpoint,GLS_,BPPE,Totalenergies Kuringen,Totalenergies Kuringen,KURINGERSTEENWEG,KURINGERSTEENWEG,388,3511,5.3003924,50.9390166,0
mailbox,BPST,PBUS,RB-9860-014,RB-9860-014,Walzegem,Walzegem,38,9860,3.8060440,50.8997500,0
mailbox,BPST,PBUS,RB-1850-023,RB-1850-023,Beigemsesteenweg,Beigemsesteenweg,171,1850,4.3649980,50.9445370,0
mailbox,BPST,PBUS,RB-2800-010,RB-2800-010,Tervuursesteenweg,Tervuursesteenweg,444,2800,4.4881320,50.9991370,0
mailbox,BPST,PBUS,RB-1390-013,RB-1390-013,Place De Bossut,Place De Bossut,2,1390,4.6953350,50.7613990,0
mailbox,BPST,PBUS,RB-7090-029,RB-7090-029,Rue Du Centre,Rue Du Centre,19,7090,4.0895080,50.6252440,0
mailbox,BPST,PBUS,RB-5575-013,RB-5575-013,Rue De La Centenaire,Rue De La Centenaire,1,5575,4.8480360,49.9873700,0
mailbox,BPST,PBUS,RB-4100-045,RB-4100-045,Esplanade De La Mairie,Esplanade De La Mairie,1,4102,5.5399420,50.6060420,0
mailbox,BPST,PBUS,RB-4040-006,RB-4040-006,Rue Basse Campagne,Rue Basse Campagne,41,4040,5.6422830,50.6864310,0
mailbox,BPST,PBUS,RB-8400-031,RB-8400-031,Duinenstraat,Duinenstraat,2,8400,2.8772360,51.2149600,0
mailbox,BPST,PBUS,RB-6540-005,RB-6540-005,Rue Du Crombouly,Rue Du Crombouly,1A,6540,4.2708290,50.3581900,0
